date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-12-07,sh.600000,12.8146854500,12.8938495300,12.7751034100,12.8245809600,12.8245809600,34802229,451233524.0000,2,0.123835,1,0.000000,7.004418,0.981842,2.310626,-2.043354,0
2017-12-08,sh.600000,12.8443719800,12.8542674900,12.7355213700,12.7948944300,12.8245809600,31296221,404411517.0000,2,0.111360,1,-0.231479,6.988205,0.979569,2.305277,-2.038624,0
2017-12-11,sh.600000,12.7849989200,12.9037450400,12.7157303500,12.8344764700,12.7948944300,36649902,474566888.0000,2,0.130409,1,0.309358,7.009823,0.982600,2.312409,-2.044930,0
2017-12-12,sh.600000,12.8344764700,12.8344764700,12.6068797400,12.6167752500,12.8344764700,30370097,390113096.0000,2,0.108064,1,-1.696224,6.890921,0.965933,2.273185,-2.010244,0
2017-12-13,sh.600000,12.6662528000,12.6761483100,12.4980291300,12.6068797400,12.6167752500,19345338,246331123.0000,2,0.068835,1,-0.078433,6.885516,0.965175,2.271402,-2.008667,0
2017-12-14,sh.600000,12.6563572900,12.6563572900,12.5277156600,12.5574021900,12.6068797400,16141678,205219487.0000,2,0.057436,1,-0.392466,6.858493,0.961387,2.262488,-2.000784,0
2017-12-15,sh.600000,12.5574021900,12.5969842300,12.4782381100,12.4881336200,12.5574021900,16210108,205323767.0000,2,0.057679,1,-0.551613,6.820661,0.956084,2.250008,-1.989747,0
2017-12-18,sh.600000,12.5771932100,12.5771932100,12.4782381100,12.5178201500,12.4881336200,13445648,170140035.0000,2,0.047843,1,0.237716,6.836874,0.958357,2.255356,-1.994477,0
2017-12-19,sh.600000,12.5178201500,12.6266707600,12.4881336200,12.6167752500,12.5178201500,18399603,233884666.0000,2,0.065470,1,0.790517,6.890921,0.965933,2.273185,-2.010244,0
2017-12-20,sh.600000,12.6266707600,12.6266707600,12.4683426000,12.5969842300,12.6167752500,26639844,337603451.0000,2,0.094791,1,-0.156866,6.880112,0.964417,2.269619,-2.007090,0
2017-12-21,sh.600000,12.5376111700,12.6464617800,12.4683426000,12.5672977000,12.5969842300,21052388,267624195.0000,2,0.074909,1,-0.235662,6.863898,0.962145,2.264271,-2.002360,0
2017-12-22,sh.600000,12.5475066800,12.5870887200,12.4782381100,12.4881336200,12.5672977000,16076938,203468779.0000,2,0.057206,1,-0.629921,6.820661,0.956084,2.250008,-1.989747,0
2017-12-25,sh.600000,12.4782381100,12.5475066800,12.4287605600,12.4584470900,12.4881336200,19306662,243553698.0000,2,0.068698,1,-0.237716,6.804447,0.953811,2.244659,-1.985017,0
2017-12-26,sh.600000,12.4386560700,12.5277156600,12.4287605600,12.5079246400,12.4584470900,15225722,192219131.0000,2,0.054177,1,0.397142,6.831470,0.957599,2.253573,-1.992900,0
2017-12-27,sh.600000,12.5178201500,12.5277156600,12.3990740300,12.4881336200,12.5079246400,32731881,412197987.0000,2,0.116468,1,-0.158231,6.820661,0.956084,2.250008,-1.989747,0
2017-12-28,sh.600000,12.4683426000,12.5277156600,12.3990740300,12.4089695400,12.4881336200,23870824,300834017.0000,2,0.084938,1,-0.633914,6.777423,0.950023,2.235744,-1.977134,0
2017-12-29,sh.600000,12.3891785200,12.4881336200,12.3792830100,12.4584470900,12.4089695400,16351826,205752875.0000,2,0.058184,1,0.398726,6.804447,0.953811,2.244659,-1.985017,0
